code,bgm_id,title,director,企画,製作,publish_date
2024-01-01,462160,シニシスタ 第一話 樹海の魔~,彩野国男,まんぴーす,魔人,2024-01-26
2024-01-02,462160,シニシスタ 第二話 母と子~,彩野国男,まんぴーす,魔人,2024-03-29
2024-02-01,462542,フルール THE ANIMATION 第1巻~,太多秀太,ふじけん,ピンクパイナップル,2024-01-26
2024-03-01,467344,69～偽りの微笑～ 〜性妊欲求♥〜,,びまら座,nur,2024-02-22
2024-03-02,467344,69～偽りの微笑～ 〜見知らぬ屹立♥〜,,びまら座,nur,2024-04-26
2024-04-01,453815,NO 猥婦 NO LIFE！ 1~,SAKAKI,Blue Bread、キャプテン秋山,Queen Bee,2024-02-23
2024-04-02,453815,NO 猥婦 NO LIFE！ 2~,SAKAKI,Blue Bread、キャプテン秋山,Queen Bee,2024-05-31
2024-05-01,466875,満たされて目覚める朝に、地味な朝食を The Animation~,裏夕涼,ショーテン,ショーテン,2024-02-22
2024-06-01,470076,断れない母 前編~,伊藤史夫,Blue Bread、キャプテン秋山,Queen Bee,2024-03-15
2024-06-02,470076,断れない母 後編~,伊藤史夫,Blue Bread、キャプテン秋山,Queen Bee,2024-05-24
2024-07-01,472364,ルインズシーカー 第1章 彼方に在りし尋ね人,彩野国男,まんぴーす,魔人,2024-03-29
2024-07-02,472364,ルインズシーカー 第2章 悲劇の義賊,彩野国男,まんぴーす,魔人,2024-05-31
2024-08-01,472456,おじさんで埋める穴 THE ANIMATION 第1巻,わたせとしひろ,ふじけん,ピンクパイナップル,2024-03-29
2024-08-02,472456,おじさんで埋める穴 THE ANIMATION 第2巻,わたせとしひろ,ふじけん,ピンクパイナップル,2024-03-29
2024-09-01,470077,NocturnaL ＃1,伊藤史夫,Blue Bread、キャプテン秋山,Queen Bee,2024-04-05
2024-09-02,470077,NocturnaL ＃2,伊藤史夫,Blue Bread、キャプテン秋山,Queen Bee,2024-06-28
2024-10-01,460872,好みじゃないけど-ムカつく姉と相性抜群エッチ 第1話,木之本なつみ,44℃梅毒,メリー・ジェーン,2024-04-19
2024-10-02,460872,好みじゃないけど-ムカつく姉と相性抜群エッチ 第2話,木之本なつみ,44℃梅毒,メリー・ジェーン,2024-06-07
2024-11-01,477143,雌吹 THE ANIMATION 第1巻,太多秀太,ふじけん,ピンクパイナップル,2024-04-26
2024-11-02,477143,雌吹 THE ANIMATION 第2巻,太多秀太,ふじけん,ピンクパイナップル,2024-05-31
2024-12-01,476697,DearestBlue 〜アイドル♥〜,,いちもつ堂,PoRO,2024-04-26
2024-12-02,476697,DearestBlue 〜サレドル♥〜,,いちもつ堂,PoRO,2024-08-30
2024-13-01,476698,サキュバス★コネクト！ 第１話　見知らぬ世界でサキュバス修行！？　エッチな経験積んじゃおう♥,彩野国男,まんぴーす,魔人,2024-04-26
2024-13-02,476698,サキュバス★コネクト！ 第２話　悩める男たちを癒しちゃえ♥　見習いサキュバスのエッチな快進撃！,彩野国男,まんぴーす,魔人,2024-07-26
2024-14-01,477144,恋乳オーダー ～おかわり～ THE ANIMATION,太多秀太,,ピンクパイナップル,2024-04-26
2024-15-01,479845,OVA みだれうち ＃1,雷火剣,あんてきぬすっ,ティーレックス,2024-04-26
2024-15-02,479845,OVA みだれうち ＃2,雷火剣,あんてきぬすっ,ティーレックス,2024-04-26
2024-16-01,475872,家庭教師X催眠2 The Animation 前編 〜絶対従順、高飛車姉妹をドスケベ淫乱に催眠操作〜,荒木英樹,キャプテン秋山,WHITE BEAR,2024-04-05
2024-16-02,475872,家庭教師X催眠2 The Animation 後編 〜絶対従順、高飛車姉妹をドスケベ淫乱に催眠操作〜,荒木英樹,キャプテン秋山,WHITE BEAR,2024-06-21
