code,bgm_id,title,director,企画,製作,publish_date
2022-01-01,351895,やみつきフェロモン THE ANIMATION 第1巻,わたせとしひろ,ふじけん,ピンクパイナップル,2022-01-28
2022-01-02,351895,やみつきフェロモン THE ANIMATION 第2巻,わたせとしひろ,ふじけん,ピンクパイナップル,2022-01-28
2022-02-01,354256,OVA 巨乳エルフ母娘催眠 #1 エルフの国を蹂躙する男。汚された女王と姫,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2022-01-28
2022-02-02,354256,OVA 巨乳エルフ母娘催眠 #2 女王と姫の快楽調教。守護騎士は恥辱に沈む,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2022-01-28
2022-03-01,354684,エロ医師 清純無垢っつり綾乃～不純診察中ズリ触診～,,いちもつ堂,PoRO,2022-01-28
2022-03-02,354684,エロ医師 ワイセツチン療・綾乃＆怜奈～ちょろハメ危嬉いっぱつ,,いちもつ堂,PoRO,2022-03-25
2022-03-03,354684,エロ医師 清純ドエロ・綾乃～漲る好奇芯～,,いちもつ堂,PoRO,2022-06-24
2022-03-04,354684,エロ医師 ナマイキドエロ・怜奈＆綾乃～絡み貪る牝少女～,,いちもつ堂,PoRO,2022-08-26
2022-04-01,354260,ひみつのきち 1 暁~,伊藤史夫,キャプテン秋山,Queen Bee,2022-02-24
2022-04-02,354260,ひみつのきち 2 宵~,伊藤史夫,キャプテン秋山,Queen Bee,2022-03-18
2022-05-01,354257,OVA 茜ハ摘マレ染メラレル ＃1,雷火剣,あんてきぬすっ,ティーレックス,2022-02-04
2022-05-02,354257,OVA 茜ハ摘マレ染メラレル ＃2,雷火剣,あんてきぬすっ,ティーレックス,2022-02-04
2022-06-01,354259,聖奴隷学園2 ～前編～ 剥奪された権力,むらかみてるあき,キャプテン秋山,GOLD BEAR,2022-02-11
2022-06-02,354259,聖奴隷学園2 ～後編～ 剥奪された権力,むらかみてるあき,キャプテン秋山,GOLD BEAR,2022-07-29
2022-07-01,360050,Garden～高嶺家の二輪花～ THE ANIMATION~,石射蒼,ふじけん,ピンクパイナップル,2022-02-25
2022-08-01,360051,キミはやさしく寝取られる THE ANIMATION 第1巻,斉進斉出,ふじけん,ピンクパイナップル,2022-02-25
2022-08-02,360051,キミはやさしく寝取られる THE ANIMATION 第2巻,斉進斉出,ふじけん,ピンクパイナップル,2022-09-30
2022-08-03,360051,キミはやさしく寝取られる THE ANIMATION 第3巻,斉進斉出,ふじけん,ピンクパイナップル,2023-05-26
2022-08-04,360051,キミはやさしく寝取られる THE ANIMATION 第4巻,斉進斉出,ふじけん,ピンクパイナップル,2023-06-30
2022-09-01,360499,エロリーマン 真苛面目られッ娘・美冬～壊れかけのスマホ～,,いちもつ堂,PoRO,2022-02-25
2022-09-02,360499,エロリーマン 高飛車虐めッ娘・梨々香～堕ちぶれた媚尻～,,いちもつ堂,PoRO,2022-04-28
2022-10-01,354253,Abandon‐100ヌキしないと出られない不思議な教室 第1話 闇のSEXゲーム,,44℃梅毒,メリー・ジェーン,2022-03-11
2022-10-02,354253,Abandon‐100ヌキしないと出られない不思議な教室 第2話 ゲームの勝者,,44℃梅毒,メリー・ジェーン,2022-11-18
2022-11-01,353388,闇憑村／めるてぃーりみっと The Animation 上巻,呀龍,キャプテン秋山,ショーテン,2022-03-25
2022-11-02,353388,闇憑村／めるてぃーりみっと The Animation 下巻,呀龍,キャプテン秋山,ショーテン,2022-04-28
2022-12-01,338672,らぶみー「楓と鈴」THE ANIMATION 第1巻,太多秀太,ふじけん,ピンクパイナップル,2022-03-25
2022-12-02,338672,らぶみー「楓と鈴」THE ANIMATION 第2巻,太多秀太,ふじけん,ピンクパイナップル,2022-10-28
2022-13-01,364686,OVA 淫行教師の催眠セイ活指導録 ＃1 藤宮恵編~,雷火剣,あんてきぬすっ,ティーレックス,2022-04-01
2022-13-02,364686,OVA 淫行教師の催眠セイ活指導録 ＃2 橘弥生編~,雷火剣,あんてきぬすっ,ティーレックス,2022-04-01
2022-14-01,356763,オタクに優しいギャルとか、巨乳の幼なじみとか。 1,伊藤史夫,キャプテン秋山,Queen Bee,2022-04-08
2022-14-02,356763,オタクに優しいギャルとか、巨乳の幼なじみとか。 2,伊藤史夫,キャプテン秋山,Queen Bee,2022-06-17
2022-15-01,370427,ハーレム・カルト 1 side HAREM~,伊藤史夫、SAKAKI,キャプテン秋山,Queen Bee,2022-05-27
2022-15-02,370427,ハーレム・カルト 2 side HAREM~,伊藤史夫、SAKAKI,キャプテン秋山,Queen Bee,2022-07-22
2022-15-03,370427,ハーレム・カルト 3 side HAREM~,伊藤史夫、SAKAKI,キャプテン秋山,Queen Bee,2023-01-27
2022-15-04,370427,ハーレム・カルト 4 side HAREM~,伊藤史夫、SAKAKI,キャプテン秋山,Queen Bee,2022-05-26
2022-16-01,371822,OVA 異世界ヤリサー ＃1 女戦士と新米女冒険者 異世界でもハメちゃうっしょw~,雷火剣(SIDE-B),あんてきぬすっ,ティーレックス,2022-05-27
2022-16-02,371822,OVA 異世界ヤリサー ＃2 百合カップルと人妻 男の良さ教えてやんよw~,雷火剣(SIDE-B),あんてきぬすっ,ティーレックス,2022-05-27
2022-17-01,374002,OVA 巨乳女戦士・土下座催眠 ＃1,雷火剣(SIDE-B),ばにぃうぉ〜か〜,,ティーレックス,2022-06-03
2022-17-02,374002,OVA 巨乳女戦士・土下座催眠 ＃2,雷火剣(SIDE-B),ばにぃうぉ〜か〜,,ティーレックス,2022-06-03
